Serial Number,Make,Model,Type,Year,Drivetrain,Power(hp),Cylinders,Displacement(Litres),Seating,Torque(lbs-ft),Mileage-city(miles/gallon),Fuel Tank Capacity(gal),Wheelbase(inches),Ground Clearance(inch),Curb weight(lbs),Length(inch),Height(inch),Width(inch),Turning Radius(ft),Gearbox
1,AM General,Hummer,SUV,2000,AWD,195,8,6.5,4,430,14.41,25,130,9.88,6564,189.8,79.21,81.18,26.5,6-speed automatic
2,Acura,RL,Sedan,2012,AWD,300,6,3.7,5,271,17,19.4,110.2,5.7,4099,195.8,57.2,72.7,19.4,6-speed automatic
3,Acura,TL,Sedan,2012,FWD,280,6,3.5,5,254,20,18.5,109.3,4.5,3726,194,57.2,74,19.4,6-speed automatic
4,Acura,TL,Type-S,2008,FWD,286,6,3.5,5,256,17,17.1,107.9,5.8,3674,189.8,56.7,72.2,19.8,5-speed automatic
5,Acura,TSX,Sedan,2012,FWD,201,4,2.4,5,170,22,18.5,106.4,5.9,3470,185.6,56.7,72.4,19,5-speed automatic
6,Acura,Integra,Type-R,2001,FWD,195,4,1.8,4,130,25,13.2,101.2,5.9,2600,172.4,51.9,67.3,17.4,5-speed manual
7,Acura,ZDX,Hatchback,2012,AWD,300,6,3.7,5,270,16,21,108.3,6.5,4410,192.4,62.8,78.5,19.2,6-speed automatic
8,Aston Martin,V8 Vantage,Convertible,2012,RWD,420,8,4.7,2,346,13,21.2,102.5,4.7,3595,172.5,49.4,73.5,18.3,6-speed automatic
9,Aston Martin,V8 Vantage,Coupe,2012,RWD,420,8,4.7,2,346,13,21.2,102.5,4.7,3595,172.5,49.4,73.5,18.3,6-speed automatic
10,Aston Martin,Virage,Convertible,2012,RWD,490,12,6,4,420,13,20.6,107.9,4,4166,185.2,50.7,75,19,6-speed automatic
11,Aston Martin,Virage,Coupe,2012,RWD,490,12,6,4,420,13,20.6,107.9,4,3935,185.2,50.5,75,19,6-speed automatic
12,Audi,RS 4,Convertible,2008,AWD,420,8,4.2,5,317,13,16.6,104.3,3.7,3957,180.7,55.7,71.5,18.2,6-speed manual
13,Audi,A5,Coupe,2012,AWD,211,4,2,4,258,21,16.9,108.3,-1,4034,182.1,54.1,72.9,18.7,8-speed automatic
14,Audi,TTS,Coupe,2012,AWD,265,4,2,4,258,23,15.9,97.2,-1,3219,165.3,53,72.5,18,6-speed auto-shift manual
15,Audi,R8,Coupe,2012,AWD,430,8,4.2,2,316,11,23.8,104.3,4.3,3605,174.5,49.3,75,19.4,6-speed manual
16,Audi,V8,Sedan,1994,AWD,276,8,4.2,5,295,13,21.1,106.4,3.7,3991,191.9,60,71.4,-1,4-speed automatic
17,Audi,100,Sedan,1994,AWD,172,6,2.8,5,184,19,21,105.8,4.8,3605,192.6,56.3,70,-1,5-speed manual
18,Audi,100,Wagon,1994,AWD,172,6,2.8,5,184,18,21,105.8,4.8,3870,192.6,56.3,70,-1,5-speed manual
19,Audi,TT,Hatchback,2011,AWD,200,4,2,4,207,21,14.5,97.2,5.31,3153,164.5,53.5,72.5,18,6-speed auto-shift manual
20,Audi,S6,Sedan,2011,AWD,435,10,5.2,5,398,14,21.1,112.1,4.3,4486,193.5,57,79.2,19.5,6-speed automatic
21,Audi,S5,Convertible,2012,AWD,333,6,3,4,325,17,16.9,108.3,4.5,4310,182.5,54.3,73,18.7,7-speed auto-shift manual
22,Audi,S5,Coupe,2012,AWD,354,8,4.2,4,325,14,16.9,108.3,-1,3858,182.5,53.9,73,18.7,6-speed manual
23,Audi,S4,Sedan,2012,AWD,333,6,3,5,325,18,16.9,110.7,5.04,3847,185.7,55.4,71.9,18.7,6-speed manual
24,Audi,S4,Sedan,2007,AWD,340,8,4.2,5,302,15,16.6,104.3,3.7,3869,180.6,55.7,70.1,18.8,6-speed manual
25,Audi,TTRS,Coupe,2012,AWD,360,5,2.5,4,343,18,15.9,97.2,-1,3306,165.3,52.8,72.5,18,6-speed manual
26,BMW,ActiveHybrid 5,Sedan,2012,RWD,335,6,3,5,330,23,17.7,116.9,-1,4365,193.1,57.6,73.2,19.6,8-speed automatic
27,BMW,1 Series,Convertible,2012,RWD,230,6,3,4,200,18,14,104.7,6.18,3494,172.2,55.6,58.3,18,6-speed manual
28,BMW,1 Series,Coupe,2012,RWD,230,6,3,4,200,18,14,104.7,6.18,3252,172.2,56,58.3,17.5,6-speed manual
